,offer_id,offer_id_mapping,total_amount,total_customers,arpu
0,0b1e1539f2cc45b7b9fa7c272da2e1d7,6,3975808.7,144909,27.4366
1,2298d6c36e964ae4a3e7e9706d1fb8c2,7,7783803.46,154828,50.2739
2,2906b810c7d4411798c6938adc9daaa5,1,5433365.93,145660,37.3017
3,3f207df678b143eea3cee63160fa8bed,2,2980827.33,140564,21.2062
4,4d5c57ea9a6940dd891ad53e9dbe8da0,9,6534407.03,150664,43.3707
5,5a8bc65990b245e5a138643cd4eb9837,3,3195623.78,142395,22.442
6,9b98b8c7a33c4b65b9aebfe6a799e6d9,8,6899545.06,146243,47.1786
7,ae264e3637204a6fb9bb56bc8210ddfd,10,9244418.16,154391,59.8767
8,f19421c1d4aa40978ebb69ca19b0e20d,4,7699782.88,150386,51.2001
9,fafdcd668e3743c1bb461111dcafc2a4,5,16368752.32,158446,103.3081
